OBJECTID,Naziv_staj,Linije,Opis,Napomena,RBR_GC_2,MBR_GC,IME_GC,IME_GO,IME_ZUPANI,SIFRA_PJ,sjediste_G,Shape_Leng,Shape_Area
"12",Agrokoka - istok,"161,162",smjer Savski most,15.916883000000041 45.74304899900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"13",Agrokoka - zapad,"161,162",smjer Brezovica,15.916723000000047 45.74306099900008,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"34",A¹pergeri - zapad,"161,162",smjer Savski most,15.830078999000023 45.69079799900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"61",Bencekoviæi - jug,"164",smjer Komari,15.815030000000036 45.71943499900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"62",Bencekoviæi - sjever,"164",smjer Savski most,15.814147000000048 45.71993099900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"146",Brez. - pod kestenima - istok,"161,162",smjer Savski most,15.912839000000076 45.73399199900007,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"147",Brez. - pod kestenima - zapad,"161,162",smjer Kupineèki Kraljevec,15.912552001000051 45.73386899900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"148",Brezje - istok,"160,163",smjer Savski most,15.938593000000026 45.70676799900008,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"149",Brezje - zapad,"160,163",smjer Gornji Trpuci\Lipnica,15.938450000000046 45.70683499900008,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"150",Brezovica ¹kola - ulaz\izlaz linija 132,"132",okreti¹te Osnovna ¹kola Brezovica,15.907029000000023 45.72460299900007,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"151",Brezovièka - ambulanta - zapad,"161,162",smjer Kupineèki Kraljevec,15.907012001000055 45.72384899900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"152",Brezovièka - ekonomija - zapad,"161,162",smjer Brezovica,15.918915999000035 45.745595999000045,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"156",Brezovièka-ambulanta - istok,"161,162",smjer Savski most,15.907723000000033 45.724127999000075,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"157",Brezovièka-ekonomija - istok,"161,162",smjer Savski most,15.919132000000047 45.74568699900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"172",Buhini - istok,"159",smjer Savski most,15.913691000000028 45.706070999000076,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"173",Buhini - zapad,"159",smjer Strmec - Regelji,15.91352900000004 45.70606999900008,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"197",Èakovica - istok,"163",smjer Savski most,15.913053000000048 45.65662399900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"198",Èakovica - zapad,"160,163",smjer Gornji Trpuci,15.912855000000036 45.65648899900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"211",Celiæi - istok,"159",smjer Savski most,15.906910000000039 45.70130399900006,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"212",Celiæi - zapad,"159",smjer Strmec - Regelji,15.906954000000042 45.70144299900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"231",Èret - istok,"160,163",smjer Savski most,15.946177000000034 45.66771699900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"232",Èret - zapad,"160,163",smjer Gornji Trpuci\Lipnica,15.945884000000035 45.66747699900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"278",Demerje - ¹kola - istok,"132",smjer Brezovica,15.885968001000037 45.73105699900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"279",Demerje - ¹kola - zapad,"132",smjer Savski most,15.885298000000034 45.73063399900008,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"280",Demerska 3 - istok,"132",smjer Brezovica,15.891220986000064 45.73434390600005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"281",Demerska 3 - zapad,"132",smjer Savski most,15.891734000000042 45.73502699900007,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"282",Derdiæi - zapad,"164",smjer Savski most,15.789916000000062 45.70399899900008,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"283",Derdiæi - sjever,"164",smjer Komari,15.789268001000039 45.70425399900006,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"286",Desprimska - istok,"132,161,162",smjer Savski most,15.903302000000053 45.72170899900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"287",Desprimska - zapad,"161,162",smjer Kupineèki Kraljevec,15.902752000000078 45.72151099900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"288",Desprimska 34 - zapad,"132",smjer Osnovna ¹kola Brezovica,15.900429999000039 45.726713999000026,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"306",Donji Trpuci - istok,"160,163",smjer Savski most,15.92187000000007 45.66508699900004,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"307",Donji Trpuci - zapad,"163",smjer Gornji Trpuci,15.921437000000026 45.66477499900003,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"311","Dragono¾ec, kapela - jug","166",smjer Glavni kolodvor,15.94852700000007 45.66086799900006,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"312","Dragono¾ec, kapela - sjever","166",smjer Dragono¾ec ¹kola,15.949757000000034 45.66075499900006,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"313","Dragono¾ec, ¹kola - istok","160,163",smjer Savski most,15.942856000000063 45.66307499900006,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"314","Dragono¾ec, ¹kola - ulaz\izlaz linija 166","166",okreti¹te Dragono¾ec,15.942647000000022 45.66282799900006,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"315","Dragono¾ec, ¹kola - sjever","160",smjer Gornji Trpuci,15.942040000000077 45.663080999000044,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"316","Dragono¾ec, ¹kola - zapad","160,163",smjer Gornji Trpuci\Lipnica,15.942526000000043 45.66298999900005,"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
