RBR_GC,MBR_GC,IME_GC,IME_GO,IME_ZUPANI,SIFRA_PJ,sjediste_G,Shape_Leng,Shape_Area
"17","00051",BREZOVICA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Brezovica, Brezovi?ka cesta 100",71103.82066390000,127328850.45299999416
"12","00108",DONJA DUBRAVA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Dubrava 49",15418.38804120000,10809795.85769999959
"1","00116",DONJI GRAD,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Ilica 25",9846.02215055000,3016173.80665000016
"11","00132",GORNJA DUBRAVA,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Dubrava 49",39522.78215390000,40263696.00180000067
"2","00159",GORNJI GRAD - MEDVEŠ?AK,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Draškovi?eva ulica 15",18576.94722190000,10191177.55130000040
"4","00329",MAKSIMIR,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Petrova ulica 116",20276.22590520000,14971952.00540000014
"6","00426",NOVI ZAGREB - ISTOK,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Avenija Dubrovnik 12",20815.56481360000,16543386.41950000077
"7","00434",NOVI ZAGREB - ZAPAD,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Avenija Dubrovnik 12",57570.82086520000,62638801.66679999232
"5","00442",PEŠ?ENICA - ŽITNJAK,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Zapoljska ulica 1",31884.42800310000,35295466.45269999653
"14","00507",PODSUSED - VRAP?E,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Sigetje 2",38090.42287950000,36162174.37659999728
"16","00566",SESVETE,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Sesvete, Trg Dragutina Domjani?a 4",75417.69574050000,165245436.26399999857
"13","00612",STENJEVEC,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Sigetje 2",16784.07385130000,12180021.79519999959
"9","00663",TREŠNJEVKA - JUG,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Park Stara Trešnjevka 2",14305.74926140000,9835737.62569000013
"8","00671",TREŠNJEVKA - SJEVER,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Park Stara Trešnjevka 2",10834.00578520000,5808488.78457000107
"3","00680",TRNJE,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Ulica grada Vukovara 56a",14897.24757290000,7364565.69082999974
"10","00094",?RNOMEREC,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Trg Francuske Republike 15",29265.13921090000,24233170.62640000135
"15","00493",PODSLJEME,GRAD ZAGREB,GRAD ZAGREB,3.00000000000,"Zagreb, Ilica 25",46765.44466220000,59428836.89739999920
